lens_id,title,abstract,date_published,jurisdiction,cpc_codes
092-946-287-561-483,BIO-BASED ADHESIVE COMPOSITION,"The present invention is directed to a bio-based composition comprising a polycondensate of a dimer of a fatty alcohol and a dimer of a fatty acid, and an epoxidized fatty acid ester as a cross-linking agent, wherein the polycondensate and the epoxidized fatty acid ester are capable of reacting with each other. The invention is also directed to an adhesive obtainable by reacting the polycondensate and the epoxidized fatty acid ester, to a method for preparing the adhesive and to the use of the adhesive for laminating a sheet or a film.",2011-03-03,WO,C09J167/06; C08K5/103; C08L91/005; C09J167/08; Y10T428/2852; C09J167/06; C08K5/103; C08L91/005; C09J167/08; Y10T428/2852
094-472-984-251-705,Bio-based adhesive composition,,2012-05-23,EP,C09J167/06; C08K5/103; C08L91/005; C09J167/08; Y10T428/2852; C09J167/06; C08K5/103; C08L91/005; C09J167/08; Y10T428/2852
094-637-867-775-721,BIO-BASED ADHESIVE FOR ELECTRICAL INSULATION,"The present disclosure is providing a bio-based adhesive composition which is water-based. The adhesive composition includes bioprotein, salt of carboxymethyl cellulose, gum, alkali and a solvent. The adhesive composition is prepared at ambient conditions. The adhesive composition is useful for insulation of the electric material, especially for pressboard for a transformer which requires good adhesive for imparting good mechanical and electrical strength.",2024-12-19,US,C09J101/286; C09J105/00; C09J189/00; C09J189/005; C09J11/04; C09J101/32; C09J189/00
095-732-340-945-714,Bio-based adhesive and preparation method thereof,"The invention provides a bio-based adhesive and a preparation method thereof. Inspired by a spider thread structure, biomass adhesive interface enhancement based on a tannic acid adhesion group is combined with construction of a differential phase separation structure by biomass-induced polylipoic acid depolymerization, and a brand new strategy of adhesion-cohesion synergistic enhancement of the adhesive strength of the adhesive is realized. According to the invention, tannic acid and carboxymethyl chitosan are introduced into a lipoic acid-based adhesive, so that the purpose of synergistically enhancing the bonding performance of the adhesive through adhesion-cohesion is achieved, and the defects of weak cohesion, low bonding strength, poor water resistance, poor moisture resistance and the like of the conventional biomass adhesive are overcome. Benefited from a new strategy of adhesion-cohesion synergistic enhancement, the biomass adhesive has good adhesive strength in various environments and materials. In addition, the biomass adhesive also has the characteristics of biological safety, antibacterial and mildew-proof properties and recoverability, so that the product has wider application and potential compared with the previous product, and has a good application prospect.",2025-09-12,CN,C09J181/00; C09J11/06; C09J11/08
096-529-666-820-957,Water-resistant high-adhesion bio-based adhesive,"The invention discloses a water-resistant high-adhesion bio-based adhesive which is prepared by the following steps: by utilizing the unique catechol structure advantage of tea polyphenol, carrying out epoxy modification on the tea polyphenol to prepare a bio-based cross-linking agent, namely tea polyphenol glycidyl ether (TPGE) with both epoxy groups and interfacial activity; and then reacting with malic acid (MAL), ricinoleic acid (RA) and tannic acid (TAN) together to prepare the bio-based adhesive, and the obtained bio-based adhesive has good water resistance and relatively high bonding strength. Therefore, the invention provides a new thought for developing a high-performance bio-based adhesive, expands the application of the natural tea polyphenol derivative in the field of high-performance functional polymers, and has important industrial application prospects.",2026-05-26,CN,C09J163/00; C09J11/08; C09J11/06
096-909-170-847-528,Bio-based adhesive as well as preparation method and application thereof,"The invention discloses a bio-based adhesive as well as a preparation method and application thereof, belonging to the technical field of adhesives. The invention provides a specific bio-based core-shell flame-retardant particle which is prepared by adding a flame retardant into a mixed solution containing a silane coupling agent and an acid-binding agent, carrying out mixing and modifying to obtain a product A, then mixing tannic acid with the product A, and performing modification. The bio-based core-shell flame-retardant particle is compounded with a composite modifier, soybean protein, a cross-linking agent and water according to a specific ratio to obtain the bio-based adhesive. The bio-based adhesive obtained by the invention is low in production cost, non-toxic and pollution-free, has excellent bonding strength, water resistance and flame retardance, can be used for production and preparation of artificial boards, and has important significance to preparation and application of artificial boards.",2021-09-10,CN,C09J189/00; C08K2003/387; C09J11/04; C09J11/06
097-598-445-841-610,BIO-BASED ADHESIVE FOR LAMINATE,"The present disclosure provides an adhesive composition. In an embodiment, the adhesive composition includes a reaction product of (A) a bio-based isocyanate component having from 30 wt% to 80 wt% bio-based content comprising (i) an isocyanate-terminated compound, and (ii) an optional first bio-based polyol. The adhesive composition also includes (B) a bio-based polyol component comprising (i) a second bio-based polyol, and (ii) optionally an adhesion promoter. The adhesive composition has greater than 60 wt% of bio-based content.",2025-09-04,WO,C08G18/7671; B32B7/12; B32B15/085; B32B27/08; B32B27/32; B32B27/36; C08G18/12; C08G18/4018; C08G18/73; C08G2230/00; C09J175/04; C09J175/06; C09J175/08
098-203-781-775-277,NATURAL ADHESIVE,The present invention relates to a natural adhesive containing protein and free sugar. The natural adhesive contains allinage and aline. The natural adhesive further contains lectine.,2015-01-01,US,C09J189/00; C09J189/00
100-386-822-124-214,Bio-based adhesive for laminating kraft paper to metal plate as well as preparation method and application of bio-based adhesive,"The invention provides a bio-based adhesive for coating kraft paper to a metal plate as well as a preparation method and application of the bio-based adhesive. The adhesive is prepared from the following raw materials: 5 to 50 parts of collagen, 0.6 to 6 parts of amine-rich polymer, 0.5 to 1 part of carboxymethyl cellulose salt, 0.6 to 12 parts of polyphenol substance and 31 to 93.5 parts of water. The adhesive can form stable interface adhesion with kraft paper or a metal plate, ortho-phenolic hydroxyl in polyphenol is subjected to an oxidation reaction to generate a quinoneform structure, and the quinoneform structure and amino in a mixed system are further subjected to a Schiff base reaction, so that cross-linking between heterochain segments and further improvement of cohesion and adhesive force of the adhesive are realized; the adhesive has stronger affinity to kraft paper, and the aqueous characteristic of the adhesive makes colloid more likely to permeate in the kraft paper part and finally wind with kraft paper fibers. The adhesive has the advantages of strong adhesive force, few metal plate part residues, good hygroscopicity, oxidation resistance, easy cleaning, environmental protection, safety and the like.",2022-06-28,CN,C09J189/00; B32B7/12; B32B15/12; C09J11/06; C09J11/08
103-179-103-415-098,A NATURAL ADHESIVE,"PURPOSE: A natural adhesive is provided to have excellent adhesion, storage and antibacterial performance without any organic compounds. CONSTITUTION: A natural adhesive comprise protein, free sugar, alliinase, and alliin. The protein comprises one or more selected from hydroxy proline, glutamic acid, proline, glycine, alanine, threonine, serine, glycine, alanine, cystine, methionine, isoleucine, leucine, tyrosine, phenylalanine, ethanolamine, ammonia, ornithine, histidine, asparagines, valine, lysine, and arginine. The sugar comprises one or more fructose, glucose, sucrose, and maltose.",2012-10-10,KR,C09J189/00; C09J11/06; C09J11/08; C09J105/00
105-676-030-747-533,Cross-linking agent for bio-based adhesive and preparation method of cross-linking agent,"The invention discloses a cross-linking agent for a bio-based adhesive and a preparation method of the cross-linking agent. The method comprises the following steps: firstly, carrying out acid amine dehydration condensation reaction on melamine and a binary acid under the condition of 170-190 DEG C to obtain a polycondensed triacid; carrying out dehydration condensation reaction on the polycondensed triacid and a polyethylene polyamine at 160-180 DEG C to obtain an acid amine polycondensation intermediate; dissolving the acid amine polycondensation intermediate in water, regulating the pH value to 7-10, and dropwisely adding epoxy chloropropane at 50-70 DEG C to react, thereby obtaining the cross-linking agent for the bio-based adhesive. When the cross-linking agent is added into the formaldehyde-free albumen glue, the heat curing temperature of protein can be reduced from 130 DEG C or above to 85 DEG C, and meanwhile, the albumen glue is provided with relatively good hot water resistance and adhesion performance.",2020-02-14,CN,C07D251/70; C09J11/06; C09J189/00
105-940-137-496-420,Bio-based adhesive material,"An adhesive product and method of making the product replaces asphalt in the manufacture of roofing shingles and pavement. The method comprises steps of forming a mixture of oil comprising fatty acids and a powdered material; maintaining the oil to powdered material weight ratio in the mixture between 1 to 0.01 and 1 to 4.9; heating the mixture to a reaction temperature greater than 100 degrees Centigrade; maintaining the reaction temperature for at least five minutes; and, injecting air into the mixture while maintaining the reaction temperature. In making a roofing shingle, the method includes additional steps of: applying the heated mixture to a fiberglass mat sheet from an upstream roll to form a tacky coated strip; and, adding a layer of granules to the tacky coated strip. The adhesive material of this method comprises polymerized oil and the powdered material.",2011-10-06,US,C04B26/003; C04B26/006; C04B28/02; C04B28/14; C04B2103/0046; C04B2111/00586; C04B2111/00612; C04B2111/0075; C04B2111/60; C09J191/00; Y02W30/91; C04B26/003; C04B26/006; C04B28/02; C04B28/14; C04B2103/0046; C04B2111/00586; C04B2111/00612; C04B2111/0075; C04B2111/60; C09J191/00; Y02W30/91
113-458-395-247-755,BIO-BASED ADHESIVE FOR ELECTRICAL INSULATION,,2025-11-19,EP,C09J101/286; C09J105/00; C09J189/00; C09J189/005; C09J11/04; C09J101/32; C09J189/00
114-398-526-161-244,BIO-ADHESIVE DISSOLVING COMPOUNDS AND DEVICE,"A medical device may comprise a body including a mixture of polyvinylpyrrolidone (“PVP”) and mitomycin. The medical device may be in any size or shape such that the medical device may be inserted into living tissue, including, but not limited to, a lacrimal punctal plug and a stent. The mixture of PVP and mitomycin may be coated on a portion of the medical device, contained within a cavity on the medical device, disposed on the surface of the medical device or configured as part of the medical device such that the mixture of PVP and mitomycin can be delivered to tissue.",2022-03-10,US,A61F9/0017; A61F9/00772; A61F2210/0004; C09D139/06; C09J139/06; A61F9/00772; A61F9/0017; C09J139/06
115-246-905-324-721,Bio-adhesives,"Distiller's Grain (DG) based bio-adhesives consisting of DG biomass, crosslinking agents, and fillers are described as substitutes for formaldehyde based wood glue for making wood panels. Algal bio-adhesives consisting of algal biomass, crosslinking agents, and fillers are described as substitutes for formaldehyde based glue for making wood panels. Processes for preparing such DG based bio-adhesives and algal bio-adhesives are provided, comprising the steps of: combining DG biomass or algal material with a cross-linking agent and inorganic fillers to form a blend; micronization or homogenization of the blend to obtain powdery material; and mixing the powdery material with additional water to form a bio-adhesive.",2019-10-01,US,C09J199/00; B27N3/002; B27N3/02; B27N3/04; C08G18/003; C08G18/4081; C08G18/6446; C08G18/6484; C08G18/73; C08G18/7657; C08K2003/2206; C08L3/02; C08L99/00; C09J103/02; C09J175/04; C09J199/00; B27N3/002; B27N3/02; B27N3/04; C08G18/003; C08G18/4081; C08G18/6446; C08G18/6484; C08G18/73; C08G18/7657; C08J3/20; C08K2003/2206; C08L3/02; C08L99/00; C09J103/02; C09J175/04
116-848-849-233-941,Photovoltaic floor containing modified rosin grease bio-based adhesive film,"The invention discloses a photovoltaic floor containing a modified rosin grease bio-based adhesive film, and relates to the technical field of photovoltaic building integration, and the photovoltaic floor is formed by laying a first glass plate, a rosin glue solution, a battery piece, a rosin glue solution and a second glass plate in sequence. S1, the rosin glue solution comprises rosin modified thermocuring, and S2, the rosin modified thermocuring comprises the following materials in parts by weight: 50-80 parts of abietic acid and 20-40 parts of glacial acetic acid (gt); and S3, adding 50-80 parts of abietic acid into a 250mL round-bottom flask, arranging a magnetic stirrer, a dropping funnel, an N2 inlet and a thermometer, continuously flushing the round-bottom flask with nitrogen in the whole reaction process, and continuously stirring the round-bottom flask with the nitrogen until the volume of the round-bottom flask is less than 80%, so as to obtain the abietic acid. The method comprises the following steps: heating and stirring 20-40 parts of glacial acetic acid (gt; 80%) until the glacial acetic acid is molten;",2024-12-27,CN,E04F15/107; C09J193/04; E04F15/082; E04F15/085; E04F15/087; E04F15/102; E04F15/105; E04F2201/07; E04F2290/02; Y02E10/50
117-088-995-713-270,Bio-based adhesive as well as preparation method and application thereof,"The invention provides a bio-based adhesive as well as a preparation method and application thereof. According to the bio-based adhesive disclosed by the invention, the biomass matrix comprises a mixture of Arabic gum and carboxymethyl chitosan, a hydrogen bond cross-linked network in the adhesive is formed by utilizing rich carboxyl, hydroxyl and other functional groups of the carboxymethyl chitosan and the Arabic gum, and meanwhile, various macromolecular chains of the polyvinyl alcohol and the reinforcing agent are mutually wound in the adhesive, so that the adhesive has a good adhesive property. Compared with a single biomass-based adhesive, the biomass-based adhesive has the effect of synergistically enhancing the heat resistance, the adhesive strength, the stability and the like of the adhesive; no formaldehyde is added in the preparation process of the adhesive, so that the formaldehyde-free standard is achieved from the source, the operation is simple, and the adhesive is green and environment-friendly; the biomass matrix material is wide in source, rich in natural content and low in price, the solvent of the raw material is water, complex organic modification is not needed, materials harmful to human health are not introduced in the production process, and the biomass matrix material is green and harmless.",2024-03-01,CN,C09J105/00; C09J105/08; C09J11/08; B27D1/04
118-966-355-444-837,Natural adhesives and their manufacturing method,"The present invention relates to a natural adhesive and a method for manufacturing the same. More specifically, the present invention relates to a natural adhesive having an effect of neutralizing harmful substances such as formaldehyde and volatile organic compounds, including sargassum horneri powder, which has an effect of adsorbing harmful substances with an adhesive used for manufacturing or finishing a fiber board, and a cypress sap known for antibacterial and deodorizing functions. The method for manufacturing a natural adhesive comprises the steps of: slowly adding 50 to 70 parts by weight of a sargassum horneri solution to 100 parts by weight of an isocyanate resin and stirring the same; adding 15 to 20 parts by weight of a cypress sap to the stirred solution; stirring the mixture at a temperature of 40 to 55 ℃ for 0.5 to 1 hour to completely dissolve the cypress sap; and aging the resulting solution in a low-temperature storage chamber at 10 to 15℃.",2024-12-10,KR,C09J175/04; C08K11/00; C09J11/00
128-384-685-503-222,Natural adhesive and preparation method thereof,"The invention provides a natural adhesive and a preparation method thereof, and belongs to the field of application of natural non-synthetic materials. According to the invention, natural fresh tung tree fruit extruded liquid is taken as a core, and water, a thickening agent and an emulsifier are added to improve the performance of the glue. According to the natural adhesive disclosed by the invention, the raw materials for preparing the natural adhesive are cheap, the immature green tung tree fruits are fully utilized, and the prepared natural adhesive has the characteristics of high viscosity, good adhesion, greenness, environmental protection and the like.",2024-04-05,CN,C09J199/00; C09J11/06; C09J11/08
129-782-541-802-530,Bio-based Adhesive Composition Based on Lignin,"The present invention relates to an adhesive composition based on a lignin structure, wherein the lignin structure is a lignin functionalised by reaction with dimethylformamide and acrylic acid.",2025-06-12,US,C09J197/005; C08H6/00; C09J197/005; C08H6/00; C09J5/00; C09J2497/00
130-328-382-437-85X,BIO-BASED ADHESIVE MATERIAL,"An adhesive product and method of making the product replaces asphalt in the manufacture of roofing shingles and pavement. The method comprises steps of forming a mixture of oil comprising fatty acids and a powdered material; maintaining the oil to powdered material weight ratio in the mixture between 1 to 0.01 and 1 to 4.9; heating the mixture to a reaction temperature greater than 100 degrees Centigrade; maintaining the reaction temperature for at least five minutes; and, injecting air into the mixture while maintaining the reaction temperature. In making a roofing shingle, the method includes additional steps of: applying the heated mixture to a fiberglass mat sheet from an upstream roll to form a tacky coated strip; and, adding a layer of granules to the tacky coated strip. The adhesive material of this method comprises polymerized oil and the powdered material.",2015-03-24,CA,C04B26/003; C04B26/006; C04B28/02; C04B28/14; C04B2103/0046; C04B2111/00586; C04B2111/00612; C04B2111/0075; C04B2111/60; C09J191/00; Y02W30/91; C04B26/003; C04B26/006; C04B28/02; C04B28/14; C04B2103/0046; C04B2111/00586; C04B2111/00612; C04B2111/0075; C04B2111/60; C09J191/00; Y02W30/91
134-129-485-103-741,Keratin bio-based adhesive and preparation method thereof,"The invention discloses a keratin-based adhesive and a preparation method thereof. The method comprises the following steps: 1) dissolving keratin powder in water to prepare a keratin aqueous solution; 2) adding an oxidizing reagent into the aqueous solution for modification, and stirring for a period of time at a certain temperature; and 3) freeze-drying the modified mixed solution into powder, and then adding a certain amount of diluent to obtain the keratin bio-based adhesive. Compared with an existing adhesive, the keratin-based adhesive is prepared by utilizing the interaction of functional groups of oxidation modified keratin, belongs to a bio-based adhesive, and is renewable, degradable and environment-friendly.",2024-03-01,CN,C09J189/00; C08H1/00
140-016-453-444-652,ADHESIVE COMPOSITIONS COMPRISING BIO-BASED ADHESIVES AND MIXTURES FOR CURTAIN COATING,,2024-09-25,EP,C09J189/00; C09J197/00; C09J197/005; C09J199/00
140-118-719-296-931,BIOBASED ADHESIVE MIXTURE AND THE USE OF SAID ADHESIVE MIXTURE,"The present invention relates to adhesive mixtures. In particular, the invention concerns the use of lignin in biobased hot-melt (non-pressure sensitive) and pressure sensitive adhesives, as well as novel adhesive mixtures suitable for use as such adhesives. The adhesive mixture comprises 25-85 wt-% lignin, 10-75 wt-% plasticizer, 0-50 wt-% tackifier and 0-40 wt-% waxes, by solid weight. The combined amount of lignin, plasticizer, tackifier and waxes is at least 90 wt-%, by solid weight, of the adhesive mixture.",2022-09-29,WO,C09J197/005
141-698-165-972-212,UNDERWATER BONDING WITH A BIOBASED ADHESIVE,"Underwater adhesive compositions comprising a zein and a tannic acid, alone or further in combination with FeCl3, an inorganic filler, a natural polymer, or any combination thereof; and a method of making them.",2025-02-20,US,C09J189/00; C09J199/00; C09J199/00; C09J189/00; C09J11/04; C08L99/00; C08L89/00; C08L1/08; C08K3/16; C08K3/34; C08K3/346; C08K3/16; C08K3/26; C08K3/346; C08K5/1345; C08K2003/265; C09J9/00; C09J189/00
142-483-094-085-867,Bio-based adhesive composition for nonwoven materials,"The present invention relates to a bio-based adhesive composition that is environmentally friendly, renewable, compostable and/or biodegradable. A bio-based composition includes chitosan, an acid, and a plasticizer. By treating a nonwoven material with the bio-based adhesive according to the present invention, it is possible to provide a nonwoven material exhibiting excellent mechanical properties. The adhesive compositions according to the present invention are readily useful for treating different types of nonwoven materials, and can be adapted to provide certain properties to certain nonwoven materials and applications.",2025-05-23,CN,D04H1/587; D04H1/641; C08L5/08; C08L3/02; D04H1/645; D04H1/732; C09J105/08; C08J3/18; C08L5/08; D04H1/64; D21H5/2664; C08J2305/08; C08K5/0016; C08K5/053; C09J11/06
145-527-612-292-577,BIO-BASED ADHESIVE MATERIAL,,2013-02-13,EP,C04B26/003; C04B26/006; C04B28/02; C04B28/14; C04B2103/0046; C04B2111/00586; C04B2111/00612; C04B2111/0075; C04B2111/60; C09J191/00; Y02W30/91; C04B26/003; C04B26/006; C04B28/02; C04B28/14; C04B2103/0046; C04B2111/00586; C04B2111/00612; C04B2111/0075; C04B2111/60; C09J191/00; Y02W30/91
145-747-396-713-262,Bio-Based Adhesive Composition,"The present invention is directed to a bio-based composition comprising a polycondensate of a dimer of a fatty alcohol and a dimer of a fatty acid, and an epoxidized fatty acid ester as a cross-linking agent, wherein the polycondensate and the epoxidized fatty acid ester are capable of reacting with each other. The invention is also directed to an adhesive obtainable by reacting the polycondensate and the epoxidized fatty acid ester, to a method for preparing the adhesive and to the use of the adhesive for laminating a sheet or a film",2012-06-21,US,C09J167/06; C08K5/103; C08L91/005; C09J167/08; Y10T428/2852; C09J167/06; C08K5/103; C08L91/005; C09J167/08; Y10T428/2852
148-451-996-916-57X,Bio-based adhesive composition,"The present invention is directed to a bio-based composition comprising a polycondensate of a dimer of a fatty alcohol and a dimer of a fatty acid, and an epoxidized fatty acid ester as a cross-linking agent, wherein the polycondensate and the epoxidized fatty acid ester are capable of reacting with each other. The invention is also directed to an adhesive obtainable by reacting the polycondensate and the epoxidized fatty acid ester, to a method for preparing the adhesive and to the use of the adhesive for laminating a sheet or a film.",2011-03-02,EP,C09J167/06; C08K5/103; C08L91/005; C09J167/08; Y10T428/2852; C09J167/06; C08K5/103; C08L91/005; C09J167/08; Y10T428/2852
148-818-776-972-340,ADHESIVE COMPOSITIONS COMPRISING BIO-BASED ADHESIVES AND MIXTURES FOR CURTAIN COATING,"The present invention describes novel formaldehyde-free adhesive compositions, adhesive mixtures comprising said adhesive composition (component A) and at least one hardener agent (component B), and adhesive systems wherein the adhesive composition further comprising a thickener agent (component A) and the at least one hardener agent (component B) are isolated one of another. Said adhesive compositions, mixtures and systems may be used for curtain coating of a substrate and, in particular, for plywood manufacturing by curtain coating. The present invention also relates to a process for manufacturing a coated material by applying the adhesive mixture by curtain coating, to coated products, in particular plywood, obtainable or obtained by said process and to coated products, or plywood comprising the adhesive composition or mixture of the invention.",2022-09-01,WO,C09J189/00; C09J197/00; C09J197/005; C09J199/00
154-007-857-380-193,BIO-ADHESIVES,"Distiller's Grain (DG) based bio-adhesives consisting of DG biomass, crosslinking agents, and fillers are described as substitutes for formaldehyde based wood glue for making wood panels. Algal bio-adhesives consisting of algal biomass, crosslinking agents, and fillers are described as substitutes for formaldehyde based glue for making wood panels. Processes for preparing such DG based bio-adhesives and algal bio-adhesives are provided, comprising the steps of: combining DG biomass or algal material with a cross-linking agent and inorganic fillers to form a blend; micronisation or homogenisation of the blend to obtain powdery material; and mixing the powdery material with additional water to form a bio-adhesive.",2017-04-20,US,C09J199/00; B27N3/002; B27N3/02; B27N3/04; C08G18/003; C08G18/4081; C08G18/6446; C08G18/6484; C08G18/73; C08G18/7657; C08K2003/2206; C08L3/02; C08L99/00; C09J103/02; C09J175/04; C09J199/00; B27N3/002; B27N3/02; B27N3/04; C08G18/003; C08G18/4081; C08G18/6446; C08G18/6484; C08G18/73; C08G18/7657; C08J3/20; C08K2003/2206; C08L3/02; C08L99/00; C09J103/02; C09J175/04
154-769-645-854-247,Bio-based adhesive material,"A bio-based adhesive and method of making the adhesive replaces or serves as additives for asphalt, sealant, and polymers such as styrene-butadiene-styrene and atactic polypropylene in the manufacture of building or paving materials. The method includes steps of forming a mixture of oil comprising fatty acids group and optionally a powdered material; maintaining the oil-to-powdered-material weight ratio in the mixture between 1 to 0.00001 and 1 to 20; heating the mixture to a reaction temperature greater than 55 degrees Centigrade; maintaining the reaction temperature until the oil is polymerized; and, injecting air into the mixture while polymerizing the oil. The adhesive of this method comprises a renewable polymer and the powdered material.",2013-05-21,US,C04B26/003; C04B26/006; C04B28/02; C04B28/14; C04B2103/0046; C04B2111/00586; C04B2111/00612; C04B2111/0075; C04B2111/60; C08L3/02; C08L97/02; C09D191/00; C09J191/00; Y02W30/91; C04B26/003; C04B26/006; C04B28/02; C04B28/14; C04B2103/0046; C04B2111/00586; C04B2111/00612; C04B2111/0075; C04B2111/60; C08L3/02; C08L97/02; C09D191/00; C09J191/00; Y02W30/91
156-058-810-521-73X,Bio-based adhesive material,"A bio-based adhesive and method of making the adhesive replaces or serves as additives for asphalt, sealant, and polymers such as styrene-butadiene-styrene and atactic polypropylene in the manufacture of building or paving materials. The method includes steps of forming a mixture of oil comprising fatty acids group and optionally a powdered material; maintaining the oil-to-powdered-material weight ratio in the mixture between 1 to 0.00001 and 1 to 20; heating the mixture to a reaction temperature greater than 55 degrees Centigrade; maintaining the reaction temperature until the oil is polymerized; and, injecting air into the mixture while polymerizing the oil. The adhesive of this method comprises a renewable polymer and the powdered material.",2011-10-27,US,C04B26/003; C04B26/006; C04B28/02; C04B28/14; C04B2103/0046; C04B2111/00586; C04B2111/00612; C04B2111/0075; C04B2111/60; C08L3/02; C08L97/02; C09D191/00; C09J191/00; Y02W30/91; C04B26/003; C04B26/006; C04B28/02; C04B28/14; C04B2103/0046; C04B2111/00586; C04B2111/00612; C04B2111/0075; C04B2111/60; C08L3/02; C08L97/02; C09D191/00; C09J191/00; Y02W30/91
156-896-432-501-805,Bio-adhesive dissolving compounds and device,"A medical device may comprise a body including a mixture of polyvinylpyrrolidone (“PVP”) and mitomycin. The medical device may be in any size or shape such that the medical device may be inserted into living tissue, including, but not limited to, a lacrimal punctal plug and a stent. The mixture of PVP and mitomycin may be coated on a portion of the medical device, contained within a cavity on the medical device, disposed on the surface of the medical device or configured as part of the medical device such that the mixture of PVP and mitomycin can be delivered to tissue.",2025-10-21,US,A61F9/0017; A61F9/00772; A61F2210/0004; C09D139/06; C09J139/06; A61F9/00772; A61F9/0017; C09J139/06
159-569-779-021-414,UNDERWATER BONDING WITH A BIOBASED ADHESIVE,"Underwater adhesive compositions comprising a zein and a tannic acid, alone or further in combination with FeCl3, an inorganic filler, a natural polymer, or any combination thereof; and a method of making them.",2023-06-22,WO,C09J189/00; C09J199/00; C09J199/00; C08K3/16; C08K3/34; C08K3/346; C08L1/08; C08L89/00; C08L99/00; C09J11/04; C09J189/00; C09J189/00; C08K3/16; C08K3/26; C08K3/346; C08K5/1345; C08K2003/265; C09J9/00
159-916-548-820-837,UNDERWATER BONDING WITH A BIOBASED ADHESIVE,"Underwater adhesive compositions comprising a zein and a tannic acid, alone or further in combination with FeCl3, an inorganic filler, a natural polymer, or any combination thereof; and a method of making them.",2023-06-22,CA,C09J189/00; C09J199/00; C09J199/00; C08K3/16; C08K3/34; C08K3/346; C08L1/08; C08L89/00; C08L99/00; C09J11/04; C09J189/00; C09J189/00; C08K3/16; C08K3/26; C08K3/346; C08K5/1345; C08K2003/265; C09J9/00
166-383-831-676-142,Natural adhesive,"The invention discloses a natural adhesive which is prepared from protein glue, fish oil, emulsion glue and polyisoprene in a weight ratio of (2-7):(1-3):(4-6):(1-2). The natural adhesive has the advantages that natural biological raw materials are used, and conventional aldehyde-containing glue is completely replaced, so that no formaldehyde can be released, the natural adhesive is applicable to processing on shaving boards and is excellent in adhesion strength and nail-holding power and good in mechanical processing property.",2016-11-09,CN,C09J201/00; C08L2205/035; C09J189/00
169-997-597-523-88X,Water-resistant bio-based adhesive and preparation method thereof,"The invention provides a water-resistant bio-based adhesive and a preparation method thereof, which belongs to the technical field of a high-molecular material. The water-resistant bio-based adhesivecomprises the following main components in parts by weight: 30-100 parts of starch, 6-9 parts of spherical lignosulfonate, 1-4 parts of tea polyphenol, 0.5-2 parts of an initiator, 20-40 parts of isocyanate, and 1-10 parts of hyperbranched polyester. The water-resistant bio-based adhesive takes natural biomass starch as a main agent, spherical lignosulfonate and tea polyphenol as an additive, isocyanate as a crosslinking agent, and hyperbranched polyester as a water resistance enhancer, the prepared bio-based adhesive does not contain formaldehyde, and has high adhesion, thermal stability andwater resistance.",2019-01-11,CN,C09J175/04; C08L2205/03; C09J11/06; C09J11/08
170-043-423-737-763,NATURAL ADHESIVE AND MANUFACTURING METHOD THEREOF,"The present invention provides a natural adhesive comprising a milk protein and a manufacturing method therefor. According to the present invention, the natural adhesive can be manufactured relatively easily using materials that are easily available in the vicinity, without a need to perform a special process. Furthermore, the present invention can provide the so-called 'eco-friendly' natural adhesive consisting of ingredients, which do not harm the human body while implementing strong adhesion and water resistance, and a manufacturing method therefor.",2022-03-18,KR,C09J189/00; C08K3/10; C08K3/22; C09J11/04
170-729-994-871-460,BIOBASED ADHESIVE COMPOSITONS,"The present invention relates to biobased adhesive compositions. More particularly, the present invention relates to adhesive compositions, the processes for manufacturing same and the applications thereof, in particular in the form of wood particle board. The invention relates in particular to an adhesive composition in the form of a solution or dispersion comprising at least one water-soluble or water-dispersible polysaccharide comprising aldehyde functions, said solution or dispersion having a solids content of greater the 20 wt%, preferably of at least 30 wt% and more preferably of at least 40 wt%, expressed as a weight percentage of solids relative to the total weight of the solution or dispersion.",2021-04-29,WO,C09J101/04; C08B15/005; C08B15/02; C09J103/02; C09J105/00
171-639-077-017-010,HEAT RESISTANT BIO-ADHESIVES,"An adhesive material produced by contacting a catechol with an amine may be stable under heated conditions and produce minimal outgassing under vacuum. The catechol may be an un-substituted catechol or a substituted catechol, such as hydroxychavicol. In some examples, the catechol may be derived from botanical sources. The amine may be a diamine, such as phenylene diamine. The adhesive polymer may form dendritic structures or macrocyclic structures. A joined article may be fabricated from two materials by applying the adhesive to a prepared surface of at least one of the materials, and the two materials may be placed together with the adhesive between them. The adhesive in the joined article may be cured at ambient temperature or under heating conditions.",2015-05-08,IN,C09J4/00; C09J4/00
173-070-151-389-293,ADHESIVE COMPOSITIONS COMPRISING BIO-BASED ADHESIVES AND MIXTURES FOR CURTAIN COATING,,2024-09-25,EP,C09J189/00; C09J197/00; C09J197/005; C09J199/00
177-292-190-844-139,A Natural Adhesive,,2013-08-23,KR,C09J189/00; C09J11/06; C09J11/08; C09J105/00
